word,type,inflections,freq,french,sentence
future,noun,"future, futures",541,avenir,The architect meticulously planned the building’s future.
prove,verb,"prove, proves, proving, proved, proven",540,prouver,The scientist hoped to prove his theory with further experiments.
surprise,noun,"surprise, surprises",540,Surprise,The children’s faces held a delightful surprise.
alright,adverb,alright,539,d'accord,"Alright, let’s start with the presentation now."
captain,noun,"captain, captains",539,capitaine,The captain skillfully steered the ship through the storm.
evening,noun,"evening, evenings",539,soirée,The evening brought a sense of quiet reflection.
congratulations,interjection,congratulations,538,Félicitations,"“Congratulations, you aced the exam!”"
system,noun,"system, systems",538,système,The hospital’s new electronic system improved patient care.
record,noun,"record, records",534,enregistrement,The musician released a new vinyl record.
age,noun,"age, ages",533,âge,The grandfather’s age made him incredibly wise.
deserve,verb,"deserve, deserves, deserving, deserved",529,mériter,She deserves recognition for her tireless efforts.
normal,adjective,normal,528,normal,It’s normal to feel nervous before a big presentation.
yesterday,noun,"yesterday, yesterdays",528,hier,Yesterday’s rain made the streets slick.
jerk,noun,"jerk, jerks",526,imbécile,That jerk slammed the door and stormed out of the room.
yay,interjection,yay,526,Oh là là,“We got tickets to the concert! Yay!”
bird,noun,"bird, birds",525,oiseau,The small bird chirped happily in the tree.
nose,noun,"nose, noses",525,nez,I wrinkled my nose at the strong smell of garlic.
bother,verb,"bother, bothers, bothering, bothered",525,embêter,Please don’t bother me with your questions right now.
fan,noun,"fan, fans",523,fane,The celebrity’s dedicated fan waited outside the theater for hours.
letter,noun,"letter, letters",523,lettre,She carefully opened the antique letter.
rather,adverb,rather,522,plutôt,I’d rather stay home and read a book.
head,verb,"head, heads, heading, headed",520,diriger,He headed the committee’s efforts to raise funds.
interested,adjective,interested,519,intéressé,I was very interested in learning more about ancient civilizations.
owe,verb,"owe, owes, owing, owed",519,detester,I owe him a serious apology for my hurtful words.
pregnant,adjective,pregnant,519,enceinte,The pregnant woman glowed with a radiant happiness.
destroy,verb,"destroy, destroys, destroying, destroyed",516,détruire,The hurricane threatened to destroy the coastal town.
bear,noun,"bear, bears",514,ours,The hiker was startled to see a large bear lumbering through the forest.
evil,adjective,"evil, eviler, eviller, evilest, evillest",513,maléfique,The villain’s evil plan threatened to destroy everything.
milk,noun,"milk, milks",512,lait,She poured a glass of milk for her cereal.
sport,noun,"sport, sports",511,sport,"The athlete dedicated his life to perfecting his skills in track and field, a demanding sport."
admit,verb,"admit, admits, admitting, admitted",510,reconnaître,He finally admitted he was wrong.
apparently,adverb,apparently,510,apparemment,"Apparently, the concert was a huge success."
conversation,noun,"conversation, conversations",509,conversation,The lively conversation filled the café with laughter and animated discussion.
obviously,adverb,obviously,509,évidemment,"It was obviously raining, so we grabbed our umbrellas."
uh-oh,interjection,uh-oh,509,Oh là là,"“Uh-oh, I seem to have spilled the milk!”"
jacket,noun,"jacket, jackets",508,veste,I grabbed my favorite jacket before heading out into the cold.
during,function word,during,507,pendant,"During the meeting, we discussed the new strategy."
accept,verb,"accept, accepts, accepting, accepted",504,accepter,"She was hesitant, but ultimately decided to accept the offer."
dumb,adjective,"dumb, dumber, dumbest",502,idiot,That was a dumb decision.
bit,noun,"bit, bits",500,octet,He sent me a single bit of information via the secure channel.
consider,verb,"consider, considers, considering, considered",500,considérer,I need to consider all the evidence before making a decision.
mention,verb,"mention, mentions, mentioning, mentioned",500,mentionner,Please mention the key findings in your report.
step,verb,"step, steps, stepping, stepped",500,faire des pas,He carefully stepped over the fallen branch.
deal,verb,"deal, deals, dealing, dealt",499,négocier,We need to deal with the issue immediately.
hungry,adjective,"hungry, hungrier, hungriest",499,affamé,The hungry child devoured the entire pizza.
situation,noun,"situation, situations",499,situation,The unexpected rain complicated the outdoor wedding situation.
lead,verb,"lead, leads, leading, leaded, led",497,mener,The experienced hiker will lead the group through the dense forest.
twelve,numerals,"twelve, twelves",495,douze,There were twelve numerals on the digital clock.
fantastic,adjective,fantastic,494,fantastique,The magician’s performance was absolutely fantastic.
hole,noun,"hole, holes",494,trou,A rabbit dug a hole in the garden.
plus,function word,plus,494,plus,The cost was $20 plus tax.
note,noun,"note, notes",492,note,Please make a note of the meeting time.
test,noun,"test, tests",492,test,The scientist conducted a rigorous test to determine the drug's effectiveness.
honest,adjective,"honest, honester, honestest",490,honnête,She remained honest despite the difficult circumstances.
character,noun,"character, characters",489,personnage,The protagonist’s complex character drove the entire narrative.
holy,adjective,"holy, holier, holiest",489,saint,The cathedral was filled with a holy silence.
manager,noun,"manager, managers",489,gérant,The project’s success hinged on the manager’s clear vision and decisive leadership.
lesson,noun,"lesson, lessons",488,leçon,The difficult math problem served as a valuable lesson for the student.
soul,noun,"soul, souls",488,âme,Her paintings seemed to capture the very soul of the subject.
nope,adverb,nope,487,non,"Nope, that’s not what I was expecting."
dark,adjective,"dark, darker, darkest",486,sombre,"The room was filled with a dark, unsettling silence."
difference,noun,"difference, differences",486,différence,The key difference between the two theories was their explanation of gravity.
wine,noun,"wine, wines",485,vin,The rich aroma of the aged wine filled the cellar.
road,noun,"road, roads",482,route,The winding road disappeared around the mountain.
calm,verb,"calm, calms, calming, calmed",481,Apaiser,He calmed the anxious child with a gentle story.
personal,adjective,personal,481,personnel,His decisions were driven by deeply personal values.
clown,noun,"clown, clowns",480,clown,"The clown juggled brightly colored balls, entertaining the children in the park."
computer,noun,"computer, computers",480,ordinateur,The computer crashed during the important presentation.
horse,noun,"horse, horses",479,cheval,The majestic horse galloped across the open field.
gosh,interjection,gosh,478,Zut,"Gosh, I didn’t expect the traffic to be this bad."
mayor,noun,"mayor, mayors",477,maire,The mayor announced a new initiative to revitalize the downtown area.
inside,adverb,inside,476,à l'intérieur,The cat was curled up inside the warm blanket.
sexy,adjective,"sexy, sexier, sexiest",476,sexy,Her confident smile and the way she moved made her undeniably sexy.
dirty,adjective,"dirty, dirtier, dirtiest",475,sale,The floor was disgustingly dirty after the kids played outside.
carry,verb,"carry, carries, carrying, carried",474,porter,She struggled to carry all the groceries at once.
professor,noun,"professor, professors",474,professeur,The professor patiently explained the complex theories to his captivated students.
usually,adverb,usually,474,souvent,"Usually, I drink coffee in the morning."
bottle,noun,"bottle, bottles",473,bouteille,She carefully placed the sparkling water bottle on the table.
cheese,noun,"cheese, cheeses",473,fromage,I spread a generous amount of cheese on my sandwich.
summer,noun,"summer, summers",473,été,The summer days stretched endlessly before us.
remind,verb,"remind, reminds, reminding, reminded",472,rappeler,Please remind me to pick up the dry cleaning.
afternoon,noun,"afternoon, afternoons",471,l'après-midi,I spent the afternoon reading in the park.
pee,verb,"pee, pees, peeing, peed",471,uriner,He needed to pee urgently after running a marathon.
across,function word,across,470,à travers,The signal traveled across the mountains.
angry,adjective,"angry, angrier, angriest",470,en colère,His outburst left everyone feeling angry.
fella,noun,"fella, fellas",470,"type, gars",That fella over there seems pretty knowledgeable about the subject.
film,noun,"film, films",470,film,The director spent months perfecting every frame of the film.
reach,verb,"reach, reaches, reaching, reached",470,atteindre,I hoped to reach the top of the mountain before nightfall.
shower,noun,"shower, showers",469,douche,The rain created a refreshing shower after the long hike.
cup,noun,"cup, cups",468,tasse,He carefully placed the cup of tea on the table.
lawyer,noun,"lawyer, lawyers",467,avocat,The lawyer presented a compelling argument to the jury.
camera,noun,"camera, cameras",465,caméra,She adjusted the camera to get a clear shot of the sunset.
pain,noun,"pain, pains",465,douleur,The sharp pain in his knee prevented him from running.
hurry,verb,"hurry, hurries, hurrying, hurried",462,soudainez,"Please hurry, we’re going to be late."
desk,noun,"desk, desks",461,Bureau,He cleared his desk of all paperwork before leaving for the day.
monster,noun,"monster, monsters",461,monstre,The ancient story told of a terrifying monster lurking in the shadows.
certainly,adverb,certainly,460,certainement,"Certainly, I will attend the meeting tomorrow."
cop,noun,"cop, cops",460,policier,The cop pulled the speeding car over to ensure the driver’s safety.
credit,noun,"credit, credits",459,crédit,"He took out a loan to buy the antique car, relying on his good credit."
prepare,verb,"prepare, prepares, preparing, prepared",459,préparer,We need to prepare for the unexpected challenges ahead.
anywhere,adverb,anywhere,458,partout,You can find a good book anywhere you go.
breakfast,noun,"breakfast, breakfasts",458,le petit-déjeuner,I always enjoy a hearty breakfast before starting my day.
bastard,noun,"bastard, bastards",457,"fils, putain",The bastard son inherited his father’s vast fortune.
damn,adjective,damn,456,diable,The damn landscape was breathtaking.
church,noun,"church, churches",455,église,The congregation gathered at church for the morning service.
hire,verb,"hire, hires, hiring, hired",454,embaucher,We need to hire a new marketing manager to oversee the campaign.
decision,noun,"decision, decisions",452,décision,Making a quick decision was crucial to avoid further complications.
Miss,noun,"miss, misses",451,Mademoiselle,"Miss Eleanor was a respected figure in the local community, often consulted for her advice."
pig,noun,"pig, pigs",448,cochon,"The pig snorted loudly, rooting around in the mud."
loser,noun,"loser, losers",446,perdant,"He was a notorious loser, always at the bottom of the rankings."
robot,noun,"robot, robots",446,robot,The robot efficiently sorted the packages in the warehouse.
deep,adjective,"deep, deeper, deepest",445,profond,"The lake was so deep, reflecting the towering mountains above."
park,noun,"park, parks",445,parc,We enjoyed a picnic in the park.
chocolate,noun,"chocolate, chocolates",445,Chocolat,The aroma of rich chocolate filled the bakery.
service,noun,"service, services",443,service,The restaurant’s exceptional service earned them numerous positive reviews.
Jew,proper noun,Jew,442,Juif,The Rabbi Jew delivered a powerful sermon.
tape,noun,"tape, tapes",440,bande,He used duct tape to repair the torn backpack.
kitchen,noun,"kitchen, kitchens",439,cuisine,The aroma of freshly baked bread filled the kitchen.
half,numerals,"half, halves",438,moitié,"The clock showed half-past twelve, a numeral representing the time."
rid,verb,"rid, rids, riddings, ridded",438,se débarrasser,Please rid yourself of these negative thoughts.
grandpa,noun,"grandpa, grandpas",437,pèregrand,Grandpa always told the best stories.
hero,noun,"hero, heroes",437,héros,"The firefighter was a true hero, bravely rescuing the trapped family."
shot,noun,"shot, shots",437,tuyau,The photographer aimed the camera’s shot at the moving wildlife.
spot,noun,"spot, spots",437,tâche,I noticed a small spot of mud on the pavement.
folks,noun,folks,436,gens,The folks at the festival were incredibly friendly.
yell,verb,"yell, yells, yelling, yelled",434,crier,He yelled for help as the flames grew higher.
awful,adjective,"awful, awfuller, awfullest",433,horrible,The movie was an awful experience from beginning to end.
scene,noun,"scene, scenes",433,scène,The movie’s dramatic climax unfolded on a breathtaking mountain scene.
trick,noun,"trick, tricks",433,tournevis,The magician’s most impressive trick involved a complex arrangement of mirrors.
asshole,noun,"asshole, assholes",431,connard,That asshole tripped me in the hallway.
issue,noun,"issue, issues",430,problème,The company faced a significant production issue.
lovely,adjective,"lovely, lovelier, loveliest",429,charmant,The cottage had a lovely little garden.
visit,verb,"visit, visits, visiting, visited",428,visiter,I plan to visit my grandparents next weekend.
honor,noun,"honor, honors",428,honneur,Receiving the medal was a great honor.
clean,adjective,"clean, cleaner, cleanest",426,propre,The newly painted room looked incredibly clean.
second,noun,"second, seconds",425,seconde,My second thought was to apologize immediately.
chick,noun,"chick, chicks",424,pintade,The farmer raised a plump chick in his barnyard.
costume,noun,"costume, costumes",424,déguisement,The child excitedly presented his elaborate Halloween costume to his parents.
Friday,proper noun,"Friday, Fridays",424,vendredi,I always look forward to Friday.
hall,noun,"hall, halls",424,salle,The band played their concert in the grand hall of the historic theater.
Ms,noun,"Ms, Mss, Mses",422,Madame,Ms. Johnson greeted the guests with a warm smile.
fake,adjective,fake,419,fausse,The artist created a fake smile on the statue.
forgive,verb,"forgive, forgives, forgiving, forgave, forgiven",419,pardonner,I need to forgive him for breaking my trust.
grade,noun,"grade, grades",419,note,His final grade in the course was a B+.
fifteen,numerals,"fifteen, fifteens",418,quinze,I need fifteen minutes to finish the report.
ought,verb,ought,417,devrait,You ought to apologize for your behavior.
cheat,verb,"cheat, cheats, cheating, cheated",416,tricoter,He cheated on the exam by looking at his neighbor’s paper.
Chinese,proper noun,Chinese,416,Chinois,The Chinese restaurant served the most delicious dumplings I’d ever tasted.
crap,interjection,"crap, craps, crapping, crapped",414,Merde,"“Oh, crap, I forgot my keys!”"
create,verb,"create, creates, creating, created",413,créer,The artist hoped to create a masterpiece.
comfortable,adjective,comfortable,412,confortable,The armchair offered a very comfortable place to relax.
hotel,noun,"hotel, hotels",411,hôtel,We booked a lovely hotel overlooking the ocean.
magazine,noun,"magazine, magazines",411,magazine,She subscribed to a fashion magazine.
settle,verb,"settle, settles, settling, settled",411,s'installer,The refugees hoped to settle into a new life in the unfamiliar city.
accident,noun,"accident, accidents",410,accident,The car crash was a terrible accident.
boob,noun,"boob, boobs",409,Seins,The artist meticulously rendered the delicate curves of the model’s boob.
excellent,adjective,excellent,409,excellent,The chef prepared an excellent meal that delighted everyone at the table.
neighbor,noun,"neighbor, neighbors",409,voisin,My neighbor brought over cookies after the storm.
train,noun,"train, trains",409,train,The engineer signaled for the train to depart on time.
board,noun,"board, boards",408,conseil,The board voted to approve the new proposal.
pop,verb,"pop, pops, popping, popped",408,éclater,The balloon popped loudly in the wind.
spirit,noun,"spirit, spirits",408,esprit,"Despite the challenges, her unwavering spirit kept her going."
cow,noun,"cow, cows",406,vache,The farmer led his cow to the pasture for grazing.
building,noun,"building, buildings",404,bâtiment,The construction crew worked tirelessly to complete the new building.
ear,noun,"ear, ears",404,oreille,"She held the seashell to her ear, hoping to hear the ocean’s roar."
giant,adjective,"giant, giants",404,géant,The giant redwood towered over the campsite.
ugly,adjective,"ugly, uglier, ugliest",404,laid,"The abandoned house had an ugly, crumbling facade."
toy,noun,"toy, toys",403,jouet,The child carefully examined the new toy car.
cancel,verb,"cancel, cancels, canceling, canceled",402,annuler,I had to cancel my plans due to the weather.
Internet,proper noun,"Internet, Net",402,Internet,Google’s Internet access is a vital resource for many students.
strange,adjective,"strange, stranger, strangest",402,étrange,The old house had a strange atmosphere that made me uneasy.
aunt,noun,"aunt, aunts",401,tante,My aunt always brings delicious cookies to family gatherings.
island,noun,"island, islands",401,île,The small island offered a peaceful escape from the bustling city.
extra,adjective,extra,400,supplémentaire,The concert offered an extra performance after the main show.
fit,verb,"fit, fits, fitting, fitted",400,s'adapter,The new shoes fit perfectly with my outfit.
rock,noun,"rock, rocks",400,rocher,The musician’s guitar was made of solid rock.
step,noun,"step, steps",400,étape,Each step in the process required careful consideration.
action,noun,"action, actions",399,action,His decisive action saved the company from bankruptcy.
bill,noun,"bill, bills",397,facture,I need to pay the electricity bill.
field,noun,"field, fields",397,champ,The farmer tended to his crops in the vast field.
kiss,noun,"kiss, kisses",397,baiser,The actor received a fan’s kiss.
fresh,adjective,"fresh, fresher, freshest",395,frais,The morning air smelled incredibly fresh.
level,noun,"level, levels",395,niveau,The river’s level rose dramatically after the heavy rains.
cost,verb,"cost, costs, costing, costed",394,coûter,The new software will cost the company a significant amount of time to implement.
size,noun,"size, sizes",394,taille,The size of the room was surprisingly large.
cell,noun,"cell, cells",393,cellule,The scientist studied the movement of molecules within the cell.
serve,verb,"serve, serves, serving, served",393,servir,The waiter was tasked to serve the dinner to the guests.
shake,verb,"shake, shakes, shaking, shook, shaken",393,secouer,The earthquake caused the ground to shake violently.
neck,noun,"neck, necks",392,cou,The scarf was too tight around her neck.
bowl,noun,"bowl, bowls",392,bol,She filled the bowl with colorful fruit salad.
control,noun,"control, controls",391,contrôle,Maintaining strict control over the experiment was crucial to the researchers’ success.
loud,adjective,"loud, louder, loudest",390,bruyant,"The concert was incredibly loud, making it difficult to hear the lyrics."
bedroom,noun,"bedroom, bedrooms",389,chambre à coucher,The soft glow of the bedside lamp illuminated the small bedroom.
check,noun,"check, checks",389,chèque,I need to check the bank statement for any unauthorized charges.
heaven,noun,"heaven, heavens",389,ciel,The view from the mountaintop felt like heaven.
right,noun,"right, rights",389,droit,He exercised his right to freedom of speech.
commercial,noun,"commercial, commercials",388,commercial,The company’s success hinged on its innovative commercial strategies.
draw,verb,"draw, draws, drawing, drew, drawn",388,dessiner,"I tried to draw a portrait, but it didn’t quite look like me."
guest,noun,"guest, guests",388,invité,The guest arrived unexpectedly at the party.
insane,adjective,"insane, insaner, insanest",388,fou,The magician’s performance was so bizarre it felt completely insane.
fail,verb,"fail, fails, failing, failed",388,échouer,"He failed to meet the deadline, disappointing everyone involved."
cook,verb,"cook, cooks, cooking, cooked",387,cuisiner,She loves to cook delicious meals for her family.
pleasure,noun,"pleasure, pleasures",387,plaisir,The unexpected kindness brought her great pleasure.
truck,noun,"truck, trucks",387,camion,The delivery truck sped down the highway.
science,noun,"science, sciences",386,science,The advancements in neuroscience represent a significant leap in our understanding of the science of the brain.
careful,adjective,careful,385,prudent,He was incredibly careful as he navigated the rocky terrain.
nervous,adjective,nervous,385,nerveux,He felt incredibly nervous before the big presentation.
although,function word,"although, altho",384,bien que,"Although it was raining, we still went for a walk."
gas,noun,"gas, gases, gasses",384,gaz,"The car sputtered and died, running out of gas."
partner,noun,"partner, partners",383,partenaire,Our company is seeking a talented marketing partner to help expand our reach.
ew,interjection,"ew, eww",383,ouge,"“Ew, that smells awful!”"
scream,verb,"scream, screams, screaming, screamed",382,crier,She screamed in terror as the shadowy figure emerged from the darkness.
pool,noun,"pool, pools",381,piscine,The children splashed happily in the cool pool.
appear,verb,"appear, appears, appearing, appeared",380,apparaître,The evidence began to appear after weeks of investigation.
clearly,adverb,clearly,380,clairement,The evidence clearly indicated his guilt.
silly,adjective,"silly, sillier, silliest",380,idiot,His silly grin made everyone laugh.
feed,verb,"feed, feeds, feeding, fed",379,nourrir,Please feed the birds in the garden.
charge,noun,"charge, charges",377,fardeau,The heavy financial charge of the lawsuit threatened to bankrupt the company.
neither,function word,neither,377,neuh,Neither he nor she wanted to attend the party.
wash,verb,"wash, washes, washing, washed",377,laver,Please wash your hands before dinner.
stink,verb,"stink, stinks, stinking, stank, stunk",377,malférer,The old house stinks of neglect and decay.
magic,adjective,magic,376,magique,"The magician performed a truly magic trick, astonishing the entire audience."
plane,noun,"plane, planes",376,avion,The pilot guided the plane safely through the storm.
tiny,adjective,"tiny, tinier, tiniest",376,petit,The tiny bird perched delicately on the branch.
prison,noun,"prison, prisons",375,prison,The hardened criminal spent decades in prison.
cause,verb,"cause, causes, causing, caused",374,causer,The loud music caused a headache.
photo,noun,"photo, photos, photograph, photographs",374,photo,The birthday party was documented with a beautiful photo.
public,adjective,public,373,public,The public outcry demanded immediate action.
button,noun,"button, buttons",372,bouton,He pressed the red button to activate the alarm.
flower,noun,"flower, flowers",372,fleur,The vibrant flower brightened the entire room.
memory,noun,"memory, memories",372,mémoire,The old photograph triggered a vivid memory of my childhood.
own,verb,"own, owns, owning, owned",372,posséder,I want to own a vintage motorcycle.
fast,adjective,"fast, faster, fastest",371,rapide,The cheetah was a remarkably fast animal.
base,verb,"base, bases, basing, based",370,fonder,The company plans to base its operations in the new city.
involve,verb,"involve, involves, involving, involved",370,Impliquer,The investigation will involve interviewing all witnesses.
madam,noun,"madam, madams, mesdames, ma'am",370,Mesdames,The madam graciously thanked the guests for attending the event.
blame,verb,"blame, blames, blaming, blamed",369,accuser,He blamed the delay on a lack of communication.
tea,noun,"tea, teas",369,thé,She enjoyed a warm cup of tea after a long day.
whoo,interjection,whoo,369,Hé,"“Whoo,” she exclaimed, surprised by the unexpected phone call."
bike,noun,"bike, bikes",368,vélo,I rode my bike to the park.
freeze,verb,"freeze, freezes, freezing, froze, frozen",368,geler,The sudden drop in temperature made the water freeze solid.
sexual,adjective,sexual,368,sexuel,The artist’s paintings contained a disturbingly sexual undertone.
code,noun,"code, codes",367,code,The programmer spent hours debugging the complex code.
celebrate,verb,"celebrate, celebrates, celebrating, celebrated",366,célébrer,We planned to celebrate our anniversary with a special dinner.
couch,noun,"couch, couches",366,canapé,"I sank into the plush couch, exhausted from the long day."
inside,function word,inside,366,à l'intérieur,The cat was curled up inside the warm blanket.
price,noun,"price, prices",366,prix,The rising price of gasoline is causing concern among commuters.
assume,verb,"assume, assumes, assuming, assumed",365,supposer,I assume he’s already finished his work.
delicious,adjective,delicious,365,délicieux,The cake was absolutely delicious.
forty,numerals,"forty, forties",365,quarante,The artist used forty numerals to depict the year of the painting’s creation.
player,noun,"player, players",365,joueur,The skilled soccer player dribbled past three defenders.
soup,noun,"soup, soups",365,soupe,She served a warm bowl of soup for dinner.
waste,verb,"waste, wastes, wasting, wasted",365,gaspiller,He wasted his time arguing with strangers online.
coat,noun,"coat, coats",364,manteau,He wore a heavy wool coat to protect himself from the cold rain.
doll,noun,"doll, dolls",364,poupon,She carefully arranged her collection of antique dolls on the shelf.
security,noun,"security, securities",364,sécurité,The company invested heavily in cybersecurity to protect its sensitive data.
warm,adjective,"warm, warmer, warmest",364,chaleureux,The fireplace cast a warm glow across the room.
football,noun,"football, footballs",363,football,The roar of the crowd intensified as the football soared through the air.
model,noun,"model, models",363,modèle,The designer presented a detailed model of the new skyscraper.
whose,function word,whose,363,dont,The book was written by the author whose name I don’t remember.
besides,function word,besides,361,en outre,"Besides needing a new car, he also desperately wants a vacation."
middle,noun,"middle, middles",361,milieu,The middle child always felt overlooked in the family.
shop,verb,"shop, shops, shopping, shopped",361,faire du shopping,She shops for groceries every Saturday.
garbage,noun,garbage,360,ordures,The overflowing garbage bins needed to be emptied immediately.
client,noun,"client, clients",359,client,The marketing team focused on building a strong relationship with each client.
ground,noun,ground,359,terrain,The hiker carefully navigated the rocky ground.
lame,adjective,"lame, lamer, lamest",359,laid,The movie’s ending was incredibly lame.
project,noun,"project, projects",359,projet,The success of the new marketing project hinges on timely completion.
dare,verb,"dare, dares, daring, dared",358,oser,He dared to climb the towering mountain.
shop,noun,"shop, shops",358,boutique,I spent the afternoon browsing the antique shop.
episode,noun,"episode, episodes",357,épisode,That television episode was surprisingly moving.
glass,noun,"glass, glasses",357,verre,The artist carefully arranged the colorful shards of glass on the table.
green,adjective,"green, greener, greenest",357,vert,The green grass swayed gently in the breeze.
lock,verb,"lock, locks, locking, locked",357,verrouiller,He locked the door before leaving the house.
award,noun,"award, awards",356,prix,She received a prestigious award for her scientific research.
straight,adjective,"straight, straighter, straightest",356,droit,The detective followed the suspect’s straight path out of the building.
unbelievable,adjective,unbelievable,356,incroyable,The magician’s escape was unbelievably impressive.
court,noun,"court, courts",355,tribunal,The jury’s decision in the court case was met with mixed reactions.
experience,noun,"experience, experiences",355,expérience,His years of experience as a carpenter made him a master craftsman.
final,adjective,final,355,dernier,The final decision was made after weeks of debate.
large,adjective,"large, larger, largest",355,grand,The farmer owned a large field of sunflowers.
salad,noun,"salad, salads",355,salade,I packed a vibrant salad for lunch.
belong,verb,"belong, belongs, belonging, belonged",354,appartenir,That book doesn’t belong on the shelf with the novels.
fuck,noun,"fuck, fucks",354,Putain,The fuck of the storm raged through the valley.
station,noun,"station, stations",354,station,The train arrived at the bustling central station.
area,noun,"area, areas",353,zone,The park covers a large area of the city.
vote,verb,"vote, votes, voting, voted",353,voter,The citizens will vote on the new proposal.
crime,noun,"crime, crimes",352,crime,The investigation focused on uncovering the details of the serious crime.
meat,noun,"meat, meats",352,viande,The barbecue was filled with delicious grilled meat.
romantic,adjective,romantic,352,romantique,The sunset over the ocean created a truly romantic atmosphere.
treat,verb,"treat, treats, treating, treated",352,traiter,Please treat everyone with kindness and respect.
forward,adverb,forward,351,avancer,Please move forward with your presentation.
glasses,noun,glasses,351,lunettes,He needed his glasses to read the small print.
lie,noun,"lie, lies",351,mensonge,The detective suspected a lie was at the heart of the entire investigation.
taste,verb,"taste, tastes, tasting, tasted",351,goûter,I wanted to taste the rich chocolate cake.
weight,noun,"weight, weights",351,poids,The boxer’s heavy weight was a significant advantage in the match.
mail,noun,"mail, mails",350,courrier,I sorted through the stack of mail on my desk.
cab,noun,"cab, cabs",348,taxi,We hailed a cab to get to the airport quickly.
two hundred,numerals,two hundred,348,deux cents,The company reported a loss of two hundred numerals in revenue for the quarter.
boring,adjective,boring,348,ennuyeux,The lecture was incredibly boring and I struggled to stay awake.
information,noun,information,347,information,The journalist meticulously gathered information about the scandal.
total,adjective,total,347,total,The restaurant bill was a total shock.
channel,noun,"channel, channels",346,canal,The television channel offered a fascinating documentary about the Amazon rainforest.
page,noun,"page, pages",346,page,Please turn to page thirty-two for the complete instructions.
suddenly,adverb,suddenly,346,Soudain,"Suddenly, the music stopped, and everyone fell silent."
sake,noun,"sake, sakes",345,saké,I bought a bottle of sake to celebrate the good news.
Thanksgiving,proper noun,"Thanksgiving, thanksgiving, thanksgivings",345,Action de grâce,We spent Thanksgiving traveling to see our family.
private,adjective,private,344,privé,The detective investigated the private conversations held within the exclusive club.
French,proper noun,French,343,France,My grandmother always dreamed of visiting French for her 80th birthday.
winner,noun,"winner, winners",343,gagnant,"The soccer player was a true winner, celebrated by his team after the victory."
past,noun,"past, pasts",342,passé,The past held many secrets that were difficult to uncover.
pen,noun,"pen, pens",342,stylo,I used my pen to sign the important document.
twice,adverb,twice,341,deuxfois,She checked the recipe twice before beginning to bake.
cousin,noun,"cousin, cousins",340,cousin,My cousin visited from out of state last weekend.
jealous,adjective,jealous,340,jaloux,He felt intensely jealous of his brother’s success.
mess,verb,"mess, messes, messing, messed",340,désordre,He messed up the entire presentation with his careless edits.
planet,noun,"planet, planets",340,planète,The astronaut gazed at the distant planet through the ship’s window.
scary,adjective,"scary, scarier, scariest",340,effrayant,The dark forest held a truly scary silence.
universe,noun,"universe, universes",340,univers,The vastness of the universe filled him with a sense of awe.
upstairs,adverb,upstairs,340,à l'étage,The children ran upstairs to join their parents.
genius,noun,"genius, geniuses, genii",339,génie,His undeniable genius allowed him to solve the complex equation in minutes.
dangerous,adjective,dangerous,338,Dangereux,The hike through the dense forest was incredibly dangerous.
nuts,adjective,nuts,337,Bref,The comedian’s jokes were utterly nuts.
ourselves,function word,ourselves,337,nousmêmes,We must always be honest with ourselves.
race,noun,"race, races",336,course,The marathon was a grueling race for the athletes.
suggest,verb,"suggest, suggests, suggesting, suggested",336,suggérer,I would suggest we leave early to avoid the traffic.
turn,noun,"turn, turns",336,tour,The artist took a sharp turn in her painting style.
sea,noun,"sea, seas",335,mer,"The vast sea stretched out before us, shimmering under the sun."
officer,noun,"officer, officers",334,officier,The police officer directed traffic after the accident.
meal,noun,"meal, meals",333,repas,We enjoyed a delicious meal at the restaurant.
popular,adjective,popular,333,Populaire,The new restaurant quickly became a popular spot for locals.
report,noun,"report, reports",333,rapport,The police officer submitted a detailed report on the accident.
welcome,interjection,welcome,333,Bienvenue,"“Welcome!” she cried, beaming as guests arrived."
flight,noun,"flight, flights",332,vol,The pilot skillfully navigated the aircraft through the turbulent flight.
change,noun,"change, changes",331,changement,The only real change he needed was a new perspective.
driver,noun,"driver, drivers",331,conducteur,The experienced driver skillfully navigated the winding mountain road.
wheel,noun,"wheel, wheels",331,roue,The bicycle’s wheel spun effortlessly on the smooth pavement.
dump,verb,"dump, dumps, dumping, dumped",329,jeter,Please dump all the trash in the designated bin.
five hundred,numerals,five hundred,329,cinq cents,The company donated five hundred numerals to the local school’s fundraising campaign.
member,noun,"member, members",329,membre,"As a loyal member, she always supported the organization’s mission."
yo,interjection,yo,329,Hé,"“Yo, are you coming with us?”"
add,verb,"add, adds, adding, added",328,ajouter,Please add more details to the report to ensure accuracy.
confuse,verb,"confuse, confuses, confusing, confused",328,perplexer,The complex instructions completely confused me.
form,noun,"form, forms",328,forme,The sculptor carefully shaped the clay into a beautiful form.
government,noun,"government, governments",328,gouvernement,The government announced new economic policies.
Sunday,proper noun,"Sunday, Sundays",328,dimanche,Sunday’s relaxed atmosphere always makes me want to spend the day reading.
order,noun,"order, orders",327,commande,The police issued an order to disperse the crowd.
continue,verb,"continue, continues, continuing, continued",326,continuer,"Despite the setbacks, the team vowed to continue their efforts."
event,noun,"event, events",326,événement,The surprise birthday party was a wonderful event.
quiet,adjective,"quiet, quieter, quietest",326,calme,The library offered a quiet space for studying.
low,adjective,"low, lower, lowest",326,bas,The temperature was unusually low.
