word,type,inflections,freq
rip,verb,"rip, rips, ripping, ripped",282
assistant,noun,"assistant, assistants",281
camp,noun,"camp, camps",281
judge,noun,"judge, judges",281
North,noun,"North, north",281
often,adverb,"often, oftener, oftenest",281
Halloween,proper noun,"Halloween, Halloweens",280
vacation,noun,"vacation, vacations",280
impossible,adjective,impossible,279
square,noun,"square, squares",279
left,noun,"left, lefts",278
grandma,noun,"grandma, grandmas",278
gross,adjective,"gross, grosser, grossest",278
pal,noun,"pal, pals",278
smile,verb,"smile, smiles, smiling, smiled",278
speech,noun,"speech, speeches",278
bust,verb,"bust, busts, busting, busted",277
gee,interjection,gee,277
handsome,adjective,"handsome, handsomer, handsomest",277
safety,noun,"safety, safeties",277
test,verb,"test, tests, testing, tested",277
community,noun,"community, communities",277
beach,noun,"beach, beaches",277
gym,noun,"gym, gyms",276
toast,noun,"toast, toasts",276
disease,noun,"disease, diseases",274
paint,verb,"paint, paints, painting, painted",274
themselves,function word,themselves,274
Monday,proper noun,"Monday, Mondays",272
pack,verb,"pack, packs, packing, packed",272
punch,verb,"punch, punches, punching, punched",272
customer,noun,"customer, customers",271
healthy,adjective,"healthy, healthier, healthiest",271
invent,verb,"invent, invents, inventing, invented",271
princess,noun,"princess, princesses",271
merry,adjective,"merry, merrier, merriest",270
someday,adverb,someday,270
blind,adjective,"blind, blinder, blindest",269
certain,adverb,certain,269
solve,verb,"solve, solves, solving, solved",269
study,noun,"study, studies",269
sweater,noun,"sweater, sweaters",269
terrific,adjective,terrific,269
wet,adjective,"wet, wetter, wettest",269
attack,noun,"attack, attacks",268
beg,verb,"beg, begs, begging, begged",268
cigarette,noun,"cigarette, cigaret, cigarettes, cigarets",268
sugar,noun,"sugar, sugars",268
uhh,interjection,uhh,268
weekend,noun,"weekend, weekends",268
damn,adverb,damn,267
sock,noun,"sock, socks, sox",267
emergency,noun,"emergency, emergencies",266
mood,noun,"mood, moods",266
peanut,noun,"peanut, peanuts",266
stage,noun,"stage, stages",266
tight,adjective,"tight, tighter, tightest",266
gum,noun,"gum, gums",265
moon,noun,"moon, moons",265
nature,noun,"nature, natures",265
program,noun,"program, programs",265
straight,adverb,straight,265
angel,noun,"angel, angels",264
corporate,adjective,corporate,264
damn,verb,"damn, damns, damning, damned",264
exist,verb,"exist, exists, existing, existed",264
ghost,noun,"ghost, ghosts",264
sauce,noun,"sauce, sauces",264
stomach,noun,"stomach, stomachs",264
twenty-five,numerals,twenty-five,264
block,noun,"block, blocks",263
herself,function word,herself,263
murder,noun,"murder, murders",263
speed,noun,"speed, speeds",263
Jesus,interjection,Jesus,262
mix,verb,"mix, mixes, mixing, mixed, mixt",262
track,noun,"track, tracks",262
opportunity,noun,"opportunity, opportunities",261
society,noun,"society, societies",261
whoo-hoo,interjection,whoo-hoo,261
upon,function word,upon,260
difficult,adjective,difficult,259
killer,noun,"killer, killers",259
lip,noun,"lip, lips",259
market,noun,"market, markets",259
goodness,noun,goodness,258
pillow,noun,"pillow, pillows",258
tie,verb,"tie, ties, tying, tied",258
arrive,verb,"arrive, arrives, arriving, arrived",257
mountain,noun,"mountain, mountains",257
slip,verb,"slip, slips, slipping, slipped",257
belt,noun,"belt, belts",256
museum,noun,"museum, museums, musea",256
oil,noun,"oil, oils",256
press,verb,"press, presses, pressing, pressed",256
respect,noun,"respect, respects",256
airplane,noun,"airplane, airplanes",255
airport,noun,"airport, airports",254
honestly,adverb,honestly,254
contest,noun,"contest, contests",253
fabulous,adjective,fabulous,253
spell,verb,"spell, spells, spelling, spelled, spelt",253
whoever,function word,"whoever, whomever",253
bell,noun,"bell, bells",252
friendship,noun,"friendship, friendships",252
national,adjective,national,252
alien,noun,"alien, aliens",251
dream,verb,"dream, dreams, dreaming, dreamed, dreamt",251
fool,noun,"fool, fools",251
past,function word,past,251
bless,verb,"bless, blesses, blessing, blessed, blest",250
cartoon,noun,"cartoon, cartoons",250
near,function word,near,250
swim,verb,"swim, swims, swimming, swam, swum",250
burger,noun,"burger, burgers",249
fruit,noun,"fruit, fruits",249
roof,noun,"roof, roofs",249
theory,noun,"theory, theories",249
according,function word,according,248
guilty,adjective,"guilty, guiltier, guiltiest",248
potato,noun,"potato, potatoes",248
dish,noun,"dish, dishes",247
sound,noun,"sound, sounds",247
uncomfortable,adjective,uncomfortable,247
wrap,verb,"wrap, wraps, wrapping, wrapped, wrapt",247
cheap,adjective,"cheap, cheaper, cheapest",246
employee,noun,"employee, employe, employees, employes",246
interview,noun,"interview, interviews",246
perform,verb,"perform, performs, performing, performed",245
spring,noun,"spring, springs",245
text,verb,"text, texts, texting, texted",245
tour,noun,"tour, tours",245
treat,noun,"treat, treats",245
awkward,adjective,"awkward, awkwarder, awkwardest",244
expensive,adjective,expensive,244
unfortunately,adverb,unfortunately,244
purse,noun,"purse, purses",243
charge,verb,"charge, charges, charging, charged",242
ha-ha,interjection,ha-ha,242
divorce,noun,"divorce, divorces",241
ring,verb,"ring, rings, ringing, rang, rung",241
bra,noun,"bra, bras",240
brown,adjective,"brown, browner, brownest",240
duck,noun,"duck, ducks",240
English,proper noun,English,240
celebrity,noun,"celebrity, celebrities",239
double,adjective,double,239
period,noun,"period, periods",239
rent,verb,"rent, rents, renting, rented",239
today,noun,today,239
barely,adverb,barely,238
bye-bye,interjection,bye-bye,238
chip,noun,"chip, chips",238
ignore,verb,"ignore, ignores, ignoring, ignored",238
language,noun,"language, languages",238
laundry,noun,"laundry, laundries",238
social,adjective,social,238
dress,noun,"dress, dresses",238
soft,adjective,"soft, softer, softest",238
apology,noun,"apology, apologies",237
concert,noun,"concert, concerts",237
disappoint,verb,"disappoint, disappoints, disappointing, disappointed",237
knife,noun,"knife, knives",237
hilarious,adjective,hilarious,236
judge,verb,"judge, judges, judging, judged",236
blanket,noun,"blanket, blankets",235
comic,adjective,comic,235
leader,noun,"leader, leaders",235
local,adjective,local,235
neighborhood,noun,"neighborhood, neighborhoods",235
trap,verb,"trap, traps, trapping, trapped",235
West,noun,"West, west",235
bury,verb,"bury, buries, burying, buried",234
whore,noun,"whore, whores",234
cross,verb,"cross, crosses, crossing, crossed",233
sheet,noun,"sheet, sheets",233
suffer,verb,"suffer, suffers, suffering, suffered",233
tax,noun,"tax, taxes",233
bath,noun,"bath, baths",232
receive,verb,"receive, receives, receiving, received",232
sometime,adverb,sometime,232
split,verb,"split, splits, splitting",232
soda,noun,"soda, sodas",231
talent,noun,"talent, talents",231
account,noun,"account, accounts",230
convince,verb,"convince, convinces, convincing, convinced",230
dessert,noun,"dessert, desserts",230
purpose,noun,"purpose, purposes",230
report,verb,"report, reports, reporting, reported",230
weak,adjective,"weak, weaker, weakest",230
cheer,verb,"cheer, cheers, cheering, cheered",229
move,noun,"move, moves",229
support,verb,"support, supports, supporting, supported",229
research,noun,"research, researches",228
tongue,noun,"tongue, tongues",228
Valentine,proper noun,"Valentine, valentine, valentines",228
pill,noun,"pill, pills",227
snake,noun,"snake, snakes",227
battle,noun,"battle, battles",226
license,noun,"license, licenses",226
nut,noun,"nut, nuts",226
health,noun,health,225
natural,adjective,natural,225
gorgeous,adjective,gorgeous,223
steak,noun,"steak, steaks",223
vagina,noun,"vagina, vaginas, vaginae",223
audience,noun,"audience, audiences",222
knee,noun,"knee, knees",222
term,noun,"term, terms",222
dance,noun,"dance, dances",221
score,noun,"score, scores",221
sue,verb,"sue, sues, suing, sued",221
whether,function word,whether,221
artist,noun,"artist, artists",220
attack,verb,"attack, attacks, attacking, attacked",220
bang,verb,"bang, bangs, banging, banged",220
bean,noun,"bean, beans",220
onto,function word,onto,220
attractive,adjective,attractive,219
breath,noun,"breath, breaths",219
cover,noun,"cover, covers",219
empty,adjective,"empty, emptier, emptiest",219
lonely,adjective,"lonely, lonelier, loneliest",219
painting,noun,"painting, paintings",219
truly,adverb,truly,219
army,noun,"army, armies",218
avoid,verb,"avoid, avoids, avoiding, avoided",218
gang,noun,"gang, gangs",218
land,verb,"land, lands, landing, landed",218
nerd,noun,"nerd, nerds",218
others,function word,others,218
slap,verb,"slap, slaps, slapping, slapped",218
when,function word,when,218
appointment,noun,"appointment, appointments",217
dick,noun,"dick, dicks",217
lesbian,noun,"lesbian, lesbians",217
outfit,noun,"outfit, outfits",217
adventure,noun,"adventure, adventures",216
devil,noun,"devil, devils",216
liar,noun,"liar, liars",216
nurse,noun,"nurse, nurses",216
pot,noun,"pot, pots",216
responsible,adjective,responsible,216
salesman,noun,"salesman, salesmen",216
slow,adjective,"slow, slower, slowest",216
smile,noun,"smile, smiles",216
wallet,noun,"wallet, wallets",216
commit,verb,"commit, commits, committing, committed",215
example,noun,"example, examples",215
fake,verb,"fake, fakes, faking, faked",215
obvious,adjective,obvious,215
pirate,noun,"pirate, pirates",215
radio,noun,"radio, radios",215
chase,verb,"chase, chases, chasing, chased",214
due,adjective,due,214
familiar,adjective,familiar,214
homework,noun,homework,214
birth,noun,"birth, births",213
Canadian,proper noun,Canadian,213
favorite,noun,"favorite, favorites",213
prefer,verb,"prefer, prefers, preferring, preferred",213
rub,verb,"rub, rubs, rubbing, rubbed",213
sky,noun,"sky, skies",213
basically,adverb,basically,212
coach,noun,"coach, coaches",212
deliver,verb,"deliver, delivers, delivering, delivered",212
laboratory,noun,"lab, labs, laboratory, laboratories",212
address,noun,"address, addresses",211
lift,verb,"lift, lifts, lifting, lifted",211
concern,verb,"concern, concerns, concerning, concerned",210
eleven,numerals,"eleven, elevens",210
round,noun,"round, rounds",210
wish,noun,"wish, wishes",210
guard,noun,"guard, guards",209
contact,noun,"contact, contacts",208
over,adjective,over,208
package,noun,"package, packages",208
travel,verb,"travel, travels, traveling, traveled",208
sixty,numerals,"sixty, sixties",208
anniversary,noun,"anniversary, anniversaries",207
cent,noun,"cent, cents",207
force,verb,"force, forces, forcing, forced",207
rest,verb,"rest, rests, resting, rested",207
spread,verb,"spread, spreads, spreading",207
adorable,adjective,adorable,206
ocean,noun,"ocean, oceans",206
percent,noun,"percent, percents",206
shit,interjection,shit,206
wing,noun,"wing, wings",206
above,function word,above,205
alcohol,noun,"alcohol, alcohols",205
crash,verb,"crash, crashes, crashing, crashed",205
insurance,noun,"insurance, insurances",205
nuclear,adjective,nuclear,205
pathetic,adjective,pathetic,205
row,noun,"row, rows",205
sight,noun,"sight, sights",205
trash,noun,"trash, trashes",205
available,adjective,available,204
brave,adjective,"brave, braver, bravest",204
climb,verb,"climb, climbs, climbing, climbed",204
earn,verb,"earn, earns, earning, earned",204
East,noun,"East, east",204
impress,verb,"impress, impresses, impressing, impressed",204
league,noun,"league, leagues",204
online,adjective,online,204
waste,noun,"waste, wastes",204
within,function word,within,204
writer,noun,"writer, writers",204
crowd,noun,"crowd, crowds",203
flip,verb,"flip, flips, flipping, flipped",203
hug,noun,"hug, hugs",203
drag,verb,"drag, drags, dragging, dragged",202
funeral,noun,"funeral, funerals",202
literally,adverb,literally,202
lousy,adjective,"lousy, lousier, lousiest",202
opinion,noun,"opinion, opinions",202
pack,noun,"pack, packs",202
spit,verb,"spit, spits, spitting, spat",202
van,noun,"van, vans",202
behavior,noun,"behavior, behaviors",201
complain,verb,"complain, complains, complaining, complained",201
future,adjective,"future, futures",201
interest,noun,"interest, interests",201
itself,function word,itself,201
mirror,noun,"mirror, mirrors",201
recently,adverb,recently,201
stripper,noun,"stripper, strippers",201
subject,noun,"subject, subjects",201
bright,adjective,"bright, brighter, brightest",200
design,verb,"design, designed, designing, designs",200
general,adjective,general,200
kidney,noun,"kidney, kidneys",200
result,noun,"result, results",200
strike,noun,"strike, strikes",200
corn,noun,"corn, corns",199
correct,adjective,correct,199
grandmother,noun,"grandmother, grandmothers",199
hug,verb,"hug, hugged, hugging, hugs",199
nightmare,noun,"nightmare, nightmares",199
ours,function word,ours,199
yellow,adjective,"yellow, yellower, yellowest",199
rise,verb,"rise, risen, rises, rising, rose",199
Christian,proper noun,"Christian, Christians",199
doughnut,noun,"doughnut, doughnuts, donut, donuts",199
original,adjective,original,199
position,noun,"position, positions",199
quarter,numerals,"quarter, quarters",199
fool,verb,"fool, fooled, fooling, fools",198
annoy,verb,"annoy, annoyed, annoying, annoys",197
can,noun,"can, cans",197
match,noun,"match, matches",197
play,noun,"play, plays",197
traffic,noun,traffic,197
actual,adjective,actual,196
banana,noun,"banana, bananas",196
conference,noun,"conference, conferences",196
lake,noun,"lake, lakes",196
medical,adjective,medical,196
medicine,noun,"medicine, medicines",196
pray,verb,"pray, prayed, praying, prays",196
shave,verb,"shave, shaved, shaven, shaves, shaving",196
tub,noun,"tub, tubs",196
bake,verb,"bake, baked, bakes, baking",195
option,noun,"option, options",195
South,noun,South,195
creepy,adjective,"creepy, creepier, creepiest",194
douchebag,noun,"douchebag, douchebags",194
eventually,adverb,eventually,194
interrupt,verb,"interrupt, interrupted, interrupting, interrupts",194
library,noun,"library, libraries",194
rude,adjective,"rude, ruder, rudest",194
advertisement,noun,"ad, ads, advertisement, advertisements, advertizement, advertizements",193
danger,noun,"danger, dangers",193
fourteen,numerals,"fourteen, fourteens",193
master,noun,"master, masters",193
math,noun,"math, maths",193
propose,verb,"propose, proposed, proposes, proposing",193
Thursday,proper noun,"Thursday, Thursdays",193
apart,adverb,apart,192
darling,noun,"darling, darlings",192
gather,verb,"gather, gathered, gathering, gathers",192
mostly,adverb,mostly,192
support,noun,"support, supports",192
bubble,noun,"bubble, bubbles",191
energy,noun,"energy, energies",191
heavy,adjective,"heavy, heavier, heaviest",191
laser,noun,"laser, lasers",191
manage,verb,"manage, managed, manages, managing",191
meanwhile,adverb,meanwhile,191
network,noun,"network, networks",191
weapon,noun,"weapon, weapons",191
condition,noun,"condition, conditions",190
copy,noun,"copy, copies",190
female,adjective,female,190
park,verb,"park, parked, parking, parks",190
quickly,adverb,quickly,190
religion,noun,"religion, religions",190
snow,noun,"snow, snows",190
Tuesday,proper noun,"Tuesday, Tuesdays",190
version,noun,"version, versions",190
bomb,noun,"bomb, bombs",190
clear,verb,"clear, cleared, clearing, clears",189
faith,noun,"faith, faiths",189
innocent,adjective,innocent,189
remove,verb,"remove, removed, removes, removing",189
survive,verb,"survive, survived, survives, surviving",189
bee,noun,"bee, bees",188
bride,noun,"bride, brides",188
cause,noun,"cause, causes",188
fifth,numerals,"fifth, fifths",188
several,function word,several,188
basketball,noun,"basketball, basketballs",187
downtown,noun,downtown,187
elephant,noun,"elephant, elephants",187
freak,noun,"freak, freaks",187
wipe,verb,"wipe, wiped, wipes, wiping",187
arrest,verb,"arrest, arrested, arresting, arrests",186
bored,adjective,bored,186
bully,noun,"bully, bullies",186
clock,noun,"clock, clocks",186
indeed,adverb,indeed,186
massage,noun,"massage, massages",186
shape,noun,"shape, shapes",186
skip,verb,"skip, skipped, skipping, skips",186
strike,verb,"strike, stricken, strikes, striking, struck",186
dry,adjective,"dry, drier, dryer, driest, dryest",185
remain,verb,"remain, remained, remaining, remains",185
style,noun,"style, styles",185
surgery,noun,"surgery, surgeries",185
toe,noun,"toe, toes",185
yard,noun,"yard, yards",185
brilliant,adjective,brilliant,184
circle,noun,"circle, circles",184
duty,noun,"duty, duties",184
enemy,noun,"enemy, enemies",184
focus,noun,"focus, foci, focuses",184
lover,noun,"lover, lovers",184
midnight,noun,midnight,184
simply,adverb,simply,184
Spanish,proper noun,Spanish,184
boom,interjection,boom,183
describe,verb,"describe, described, describes, describing",183
legal,adjective,legal,183
Mexican,proper noun,"Mexican, Mexicans",183
powerful,adjective,"powerful, powerfull, powerfuller, powerfuler, powerfullest, powerfulest",183
series,noun,series,183
wire,noun,"wire, wires",183
candle,noun,"candle, candles",182
diaper,noun,"diaper, diapers",182
direction,noun,"direction, directions",182
divorce,verb,"divorce, divorces, divorced, divorcing",182
eighteen,numerals,"eighteen, eighteens",182
express,verb,"express, expressed, expresses, expressing",182
plastic,noun,"plastic, plastics",182
responsibility,noun,"responsibility, responsibilities",182
starve,verb,"starve, starved, starves, starving",182
united,adjective,united,182
worker,noun,"worker, workers",182
AIDS,abbreviation,AIDS,181
hope,noun,"hope, hopes",181
immediately,adverb,immediately,181
nowhere,adverb,nowhere,181
separate,verb,"separate, separated, separates, separating",181
watch,noun,"watch, watches",181
emotional,adjective,emotional,180
hardly,adverb,hardly,180
pilot,noun,"pilot, pilots",180
vampire,noun,"vampire, vampires",180
attitude,noun,"attitude, attitudes",179
balloon,noun,"balloon, balloons",179
exact,adjective,exact,179
frankly,adverb,frankly,179
hip,noun,"hip, hips",179
pet,noun,"pet, pets",179
prank,noun,"prank, pranks",179
announcement,noun,"announcement, announcements",178
effect,noun,"effect, effects",178
escape,verb,"escape, escaped, escapes, escaping",178
golden,adjective,golden,178
nipple,noun,"nipple, nipples",178
rough,adjective,"rough, rougher, roughest",178
stick,noun,"stick, sticks",178
trade,verb,"trade, traded, trades, trading",178
twin,noun,"twin, twins",178
waiter,noun,"waiter, waiters",178
architect,noun,"architect, architects",177
beauty,noun,"beauty, beauties",177
mate,noun,"mate, mates",177
official,adjective,official,177
practice,verb,"practice, practiced, practices, practicing",177
t-shirt,noun,"t-shirt, t-shirts",177
bug,noun,"bug, bugs",176
crack,verb,"crack, cracked, cracking, cracks",176
four hundred,numerals,four hundred,176
half,noun,"half, halves",176
smoke,noun,"smoke, smokes",176
contract,noun,"contract, contracts",175
nail,noun,"nail, nails",175
recognize,verb,"recognize, recognized, recognizes, recognizing",175
scientist,noun,"scientist, scientists",175
set,noun,"set, sets",175
shoulder,noun,"shoulder, shoulders",175
successful,adjective,successful,175
turd,noun,"turd, turds",175
view,noun,"view, views",175
basement,noun,"basement, basements",174
degree,noun,"degree, degrees",174
fortune,noun,"fortune, fortunes",174
hit,noun,"hit, hits",174
invitation,noun,"invitation, invitations",174
nail,verb,"nail, nailed, nailing, nails",174
oops,interjection,oops,174
professional,adjective,professional,174
search,noun,"search, searches",174
swing,verb,"swing, swinging, swings, swung",174
train,verb,"train, trained, training, trains",174
weather,noun,"weather, weathers",174
alarm,noun,"alarm, alarms",173
fun,adjective,"fun, funner, funnest",173
kitty,noun,"kitty, kitties",173
nap,noun,"nap, naps",173
practice,noun,"practice, practices",173
precious,adjective,precious,173
product,noun,"product, products",173
rabbit,noun,"rabbit, rabbits",173
role,noun,"role, roles",173
snack,noun,"snack, snacks",173
sucker,noun,"sucker, suckers",173
tag,noun,"tag, tags",173
chef,noun,"chef, chefs",172
chew,verb,"chew, chewed, chewing, chews",172
evidence,noun,evidence,172
fantasy,noun,"fantasy, fantasies",172
operation,noun,"operation, operations",172
puppy,noun,"puppy, puppies",172
rain,noun,"rain, rains",172
spin,verb,"spin, spinning, spins, spun",172
throat,noun,"throat, throats",172
e-mail,verb,"e-mail, e-mails, e-mailing, e-mailed, email, emails, emailing, emailed",171
present,verb,"present, presented, presenting, presents",171
reality,noun,"reality, realities",171
saint,noun,"saint, saints",171
top,adjective,top,171
victim,noun,"victim, victims",171
waitress,noun,"waitress, waitresses",171
booze,noun,"booze, boozes",170
condom,noun,"condom, condoms",170
director,noun,"director, directors",170
hunt,verb,"hunt, hunted, hunting, hunts",170
menu,noun,"menu, menus",170
mystery,noun,"mystery, mysteries",170
quiet,interjection,quiet,170
regret,verb,"regret, regrets, regretted, regretting",170
technically,adverb,technically,170
ton,noun,"ton, tons",170
attract,verb,"attract, attracted, attracting, attracts",169
aware,adjective,"aware, awarer, awarest",169
chest,noun,"chest, chests",169
dentist,noun,"dentist, dentists",169
far,adjective,"far, farther, further, farthest, furthest",169
focus,verb,"focus, focused, focuses, focusing, focussed, focusses, focussing",169
illegal,adjective,illegal,169
junior,adjective,junior,169
mouse,noun,"mouse, mice, mouses",169
pencil,noun,"pencil, pencils",169
sentence,noun,"sentence, sentences",169
sixteen,numerals,"sixteen, sixteens",169
squeeze,verb,"squeeze, squeezed, squeezes, squeezing",169
audition,noun,"audition, auditions",168
lobster,noun,"lobster, lobsters",168
success,noun,"success, successes",168
terrorist,noun,"terrorist, terrorists",168
asleep,adverb,asleep,167
fashion,noun,"fashion, fashions",167
glove,noun,"glove, gloves",167
item,noun,"item, items",167
recommend,verb,"recommend, recommended, recommending, recommends",167
tuna,noun,"tuna, tunas",167
warehouse,noun,"warehouse, warehouses",167
Italian,proper noun,"Italian, Italians",166
lazy,adjective,"lazy, lazier, laziest",166
tank,noun,"tank, tanks",166
whale,noun,"whale, whales",166
zone,noun,"zone, zones",166
honor,verb,"honor, honored, honoring, honors",166
panic,verb,"panic, panicked, panicking, panics",166
bachelor,noun,"bachelor, bachelors",165
chain,noun,"chain, chains",165
creature,noun,"creature, creatures",165
diamond,noun,"diamond, diamonds",165
however,function word,however,165
image,noun,"image, images",165
parade,noun,"parade, parades",165
rocket,noun,"rocket, rockets",165
solution,noun,"solution, solutions",165
cable,noun,"cable, cables",164
culture,noun,"culture, cultures",164
forty-five,numerals,forty-five,164
garage,noun,"garage, garages",164
male,adjective,male,164
revenge,noun,"revenge, revenges",164
shrimp,noun,"shrimp, shrimps",164
taco,noun,"taco, tacos",164
thin,adjective,"thin, thinner, thinnest",164
vote,noun,"vote, votes",164
aside,adverb,aside,163
bum,noun,"bum, bums",163
distract,verb,"distract, distracted, distracting, distracts",163
DVD,abbreviation,"DVD, DVDs",163
hehe,interjection,hehe,163
humiliate,verb,"humiliate, humiliated, humiliates, humiliating",163
locker,noun,"locker, lockers",163
native,adjective,native,163
performance,noun,"performance, performances",163
policy,noun,"policy, policies",163
pony,noun,"pony, ponies",163
release,verb,"release, released, releases, releasing",163
stone,noun,"stone, stones",163
woohoo,interjection,woohoo,163
advantage,noun,"advantage, advantages",162
basket,noun,"basket, baskets",162
breakup,noun,"breakup, breakups",162
device,noun,"device, devices",162
garden,noun,"garden, gardens",162
patient,noun,"patient, patients",162
pink,adjective,"pink, pinker, pinkest",162
represent,verb,"represent, represented, representing, represents",162
thirteen,numerals,"thirteen, thirteens",162
treasure,noun,"treasure, treasures",162
amount,noun,"amount, amounts",161
fart,noun,"fart, farts",161
newspaper,noun,"newspaper, newspapers",161
wind,noun,"wind, winds",161
act,noun,"act, acts",160
ashamed,adjective,ashamed,160
champion,noun,"champion, champions",160
light,verb,"light, lighted, lighting, lights, lit",160
per,function word,per,160
scout,noun,"scout, scouts",160
guitar,noun,"guitar, guitars",159
mental,adjective,mental,159
sensitive,adjective,sensitive,159
twenty-four,numerals,twenty-four,159
heat,noun,"heat, heats",158
otherwise,function word,otherwise,158
seventeen,numerals,"seventeen, seventeens",158
string,noun,"string, strings",158
wind,verb,"wind, winds, winding, winded ; wind, winds, winding, wound",158
downstairs,adverb,downstairs,157
impressive,adjective,impressive,157
poop,noun,"poop, poops",157
property,noun,"property, properties",157
skill,noun,"skill, skills",157
walk,noun,"walk, walks",157
dammit,interjection,dammit,156
lead,noun,"lead, leads",156
pancake,noun,"pancake, pancakes",156
slow,verb,"slow, slowed, slowing, slows",156
stranger,noun,"stranger, strangers",156
charity,noun,"charity, charities",155
crap,verb,"crap, crapped, crapping, craps",155
freedom,noun,"freedom, freedoms",155
pour,verb,"pour, poured, pouring, pours",155
stuff,verb,"stuff, stuffed, stuffing, stuffs",155
tradition,noun,"tradition, traditions",155
beef,noun,"beef, beefs, beeves",154
bite,noun,"bite, bites",154
bullet,noun,"bullet, bullets",154
curious,adjective,"curious, curiouser, curiousest",154
disaster,noun,"disaster, disasters",154
factory,noun,"factory, factories",154
forest,noun,"forest, forests",154
middle,adjective,middle,154
odd,adjective,odd,154
provide,verb,"provide, provided, provides, providing",154
repeat,verb,"repeat, repeated, repeating, repeats",154
section,noun,"section, sections",154
subway,noun,"subway, subways",154
choke,verb,"choke, choked, chokes, choking",153
cowboy,noun,"cowboy, cowboys",153
dirt,noun,dirt,153
frog,noun,"frog, frogs",153
pumpkin,noun,"pumpkin, pumpkins, punkin, punkins",153
swallow,verb,"swallow, swallowed, swallowing, swallows",153
bacon,noun,bacon,152
clever,adjective,"clever, cleverer, cleverest",152
competition,noun,"competition, competitions",152
e-mail,noun,"e-mail, e-mails, email, emails",152
heh,interjection,heh,152
lick,verb,"lick, licked, licking, licks",152
mission,noun,"mission, missions",152
pair,noun,"pair, pairs",152
soap,noun,"soap, soaps",152
tail,noun,"tail, tails",152
tattoo,noun,"tattoo, tattoos",152
activity,noun,"activity, activities",151
bridge,noun,"bridge, bridges",151
detail,noun,"detail, details",151
diet,noun,"diet, diets",151
insult,verb,"insult, insulted, insulting, insults",151
theme,noun,"theme, themes",151
university,noun,"university, universities",151
champagne,noun,"champagne, champagnes",150
charming,adjective,charming,150
compare,verb,"compare, compared, compares, comparing",150
gut,noun,"gut, guts",150
map,noun,"map, maps",150
napkin,noun,"napkin, napkins",150
punch,noun,"punch, punches",150
apply,verb,"apply, applied, applies, applying",149
challenge,verb,"challenge, challenged, challenges, challenging",149
collect,verb,"collect, collected, collecting, collects",149
cupcake,noun,"cupcake, cupcakes",149
fridge,noun,"fridge, fridges",149
imagination,noun,"imagination, imaginations",149
joke,verb,"joke, joked, jokes, joking",149
pad,noun,"pad, pads",149
script,noun,"script, scripts",149
whip,verb,"whip, whipped, whipping, whips, whup, whupped, whupping, whups, whoop, whoops, whooping, whooped",149
left,adjective,left,149
affair,noun,"affair, affairs",148
benefit,noun,"benefit, benefits",148
beyond,function word,beyond,148
book,verb,"book, booked, booking, books",148
citizen,noun,"citizen, citizens",148
fart,verb,"fart, farted, farting, farts",148
grant,verb,"grant, granted, granting, grants",148
junk,noun,"junk, junks",148
magical,adjective,magical,148
prom,noun,"prom, proms",148
schedule,noun,"schedule, schedules",148
studio,noun,"studio, studios",148
value,noun,"value, values",148
wise,adjective,"wise, wiser, wisest",148
Bible,proper noun,"Bible, Bibles",147
clue,noun,"clue, clues",147
suicide,noun,"suicide, suicides",147
Wednesday,proper noun,"Wednesday, Wednesdays",147
friendly,adjective,"friendly, friendlier, friendliest",147
claim,verb,"claim, claimed, claiming, claims",146
complicate,verb,"complicate, complicated, complicates, complicating",146
doubt,noun,"doubt, doubts",146
generation,noun,"generation, generations",146
grave,noun,"grave, graves",146
require,verb,"require, required, requires, requiring",146
stair,noun,"stair, stairs",146
album,noun,"album, albums",145
depend,verb,"depend, depended, depending, depends",145
maid,noun,"maid, maids",145
moron,noun,"moron, morons",145
necessary,adjective,necessary,145
oven,noun,"oven, ovens",145
paint,noun,"paint, paints",145
refer,verb,"refer, referred, referring, refers",145
scratch,verb,"scratch, scratched, scratches, scratching",145
spill,verb,"spill, spilled, spilling, spills, spilt",145
stain,noun,"stain, stains",145
adopt,verb,"adopt, adopted, adopting, adopts",144
brush,verb,"brush, brushed, brushes, brushing",144
delivery,noun,"delivery, deliveries",144
disappear,verb,"disappear, disappeared, disappearing, disappears",144
elementary,adjective,elementary,144
humor,noun,"humor, humors",144
tear,noun,"tear, tears",144
trap,noun,"trap, traps",144
amazing,adjective,amazing,143
Asian,proper noun,"Asian, Asians",143
boot,noun,"boot, boots",143
connection,noun,"connection, connections",143
eve,noun,"eve, eves",143
happiness,noun,happiness,143
lifetime,noun,"lifetime, lifetimes",143
officially,adverb,officially,143
quality,noun,"quality, qualities",143
agreement,noun,"agreement, agreements",142
argument,noun,"argument, arguments",142
carpet,noun,"carpet, carpets",142
crisis,noun,"crisis, crises",142
design,noun,"design, designs",142
drawer,noun,"drawer, drawers",142
further,adverb,further,142
incredibly,adverb,incredibly,142
loose,adjective,"loose, looser, loosest",142
pair,numerals,"pair, pairs",142
refuse,verb,"refuse, refused, refuses, refusing",142
risk,noun,"risk, risks",142
selfish,adjective,selfish,142
village,noun,"village, villages",142
anger,noun,"anger, angers",141
assure,verb,"assure, assured, assures, assuring",141
bet,noun,"bet, bets",141
bingo,noun,bingo,141
bunny,noun,"bunny, bunnies",141
crawl,verb,"crawl, crawled, crawling, crawls",141
demand,verb,"demand, demanded, demanding, demands",141
